rank;actividad;importe;movimientos
0;RESTAURANTES RESTO;2165402;18205
1;CAJEROS AUTOMATICOS;1230712;2544
2;EL CORTE INGLES;975722;4874
3;AGENCIAS BANCARIAS(ANTICIPO VENTANILLA);835560;657
4;HOTELES 4 Y 5 ESTRELLAS,BALNEARIOS,CAMPI;449422;1678
5;HIPERCOR SUPERMERCADOS EL CORTE INGLES;423166;2209
6;RESTAURANTES DE 4 Y 5 TENEDORES;414136;2543
7;AGENCIAS DE VIAJES;389185;442
8;CONFECCION TEXTIL EN GENERAL;367315;1409
9;GASOLINERAS;312949;5799
10;JOYERIAS Y RELOJERIAS;179475;218
11;C.A.M.P.S.A.;175617;3098
12;HOTELES,MOTELES,BALNEARIOS,CAMPINGS REST;174277;921
13;IBERIA;164453;447
14;SUPERMERCADOS,ULTRAMARINOS, ECONOMATOS;147825;1622
15;CAFETERIAS,SNACKS;139911;2052
16;LINEAS AEREAS;128268;630
17;AUTOM.Y MOTOCICLETAS ( VENTAS Y REPARAC);122381;273
18;MUEBLES,ANTIGUEDADES Y GALERIAS DE ARTE;105982;230
19;LIBRERIAS, PAPELERIAS Y DISCOS;98612;1292
20;JUGUETES, ARTICULOS DEPORTIVOS;81549;537
21;VENTA A DIST.DE PRODUCTOS AL POR MENOR;77948;509
22;ZAPATERIAS;68236;356
23;ELECTRODOMESTICOS,EQUIPOS ELECTRICOS;67924;273
24;VIPS;65175;1158
25;R.E.N.F.E.;63629;601
26;PARADORES NACIONALES;61003;278
27;HIPERMERCADOS (TECNOLOGIA ELECTRONICA);60835;709
28;FLORES Y PLANTAS;53314;408
29;ESPECTACULOS Y DEPORTES;48334;708
30;VIAJES BARCELO;47894;27
31;HOSPITALES,SANATORIOS Y CONSULTAS MEDIC;46449;134
32;CLUBS DEPORTIVOS;43928;325
33;BAZARES, OBJETOS REGALO Y SOUVENIRS;42297;341
34;FNAC;40880;398
35;NH HOTELES;39159;405
36;CEPSA;38665;642
37;FARMACIAS;36328;693
38;MARROQUINERIA,ARTICULOS DE VIAJE;34061;152
39;FOTOGRAFIA,EQUIPOS CINE,OPTICA,INST.MEDI;33647;128
40;EXPENDIDURIA OFICIAL DE TABACO;32632;184
41;RESTAURANTE RESTO NIVEL 2;32559;247
42;CARREFOUR;30620;253
43;CADENA MEDIA MARKT;29880;134
44;RESTAURANTE 4/5 TENEDORES NIVEL 2;29716;149
45;G.SUPERFICIES DE DROGUERIA Y PERFUMERIA;27977;169
46;AIR EUROPA;26886;65
47;ALQUILER AUTOMOVILES;26159;210
48;CORTEFIEL_( CADENA );25993;110
49;DECORACION Y ARQUITECTURA;24788;67
